code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	main_n	UNCON_Estimate	UNCON_low_95_CI	UNCON_upp_95_CI	UNCON_SIG	fam_n	FAM_Estimate	FAM_low_95_CI	FAM_upp_95_CI	FAM_SIG	COVAR_Estimate	COVAR_low_95_CI	COVAR_upp_95_CI	COVAR_SIG	BT_median_BF	BT_low_95_HDI	BT_upp_95_HDI	BT_HDI_SIG	SPAPHY_median_Estimate	SPAPHY_median_low_95_CI	SPAPHY_median_upp_95_CI	SPAPHY_SIG	supported
0107bKA	107	107	sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383	b	Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages	OV > Adj-N	OV > Adj-N	narrow word order	word order	word order	GB131:0 & (GB132:1 | GB133:1) > GB193:1	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)	OK, our implementation of VO/OV isn"t ideal	OK	1833	-0.2057004	-0.4729425	0.06716549	NOT SIG	1560	1.0610499	-1.0406002	3.4634532	NOT SIG	0.03509241	-1.35971173	1.7325762	NOT SIG	4.7424585	-1.167651	20.329463	NOT SIG	0.032151587	-1.365585625	1.694558625	no	NOT SIG
0107cKA	107	107	sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383	c	Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages	VO > N-Gen	VO > N-Gen	narrow word order	word order	word order	(GB131:1 | GB132:1) & GB133:0 > GB065:2	BDT Dryer 1992	Greenberg 1963	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, our implementation of VO/OV isn"t ideal	OK	1989	2.5848116	2.3441792	2.8325063	SIG	1675	2.7941763	0.8876448	5.02072419	SIG	2.0828685	0.43646488	3.6955172	SIG	44.9925855	32.361265	56.290106	SIG	2.350032452	0.531946163	4.031218375	yes	SIG
0108KA	108	108	languages in Lehmann 1973 Source W. P. Lehmann 1973	NA	In consistent OV languages, interrogative markers follow verbs, occupying final position in the sentence.	OV > Sent-Q	OV > Sent-Q	narrow word order	word order	word order	GB131:0 & (GB132:1 | GB133:1)  > GB263:1	BDT Dryer 1992	W. P. Lehmann 1973	W. P. Lehmann 1973	594	20	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, our implementation of VO/OV isn"t ideal	OK	1540	1.112609	0.818696	1.410114	SIG	1287	0.4077312	-1.18712894	1.8721982	NOT SIG	0.7593847	-0.4524136	1.9292569	NOT SIG	19.4646445	10.780013	27.376175	SIG	0.832989756	-0.362621063	1.96798175	no	NOT SIG
0110KA	110	110	sample of 316 languages in Dryer 1988a Source Dryer 1988a : 200	NA	There is a clear tendency for Rel N languages to be Adj N and for N Rel languages to be N Adj.	N-Rel > N-Adj	N-Rel > N-Adj	narrow word order	word order	word order	GB327:1 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Dryer 1988a : 200	Dryer 1988a	246	316	quite diverse	no bias	no bias	NA	perfect	perfect	1529	1.1906452	0.9151244	1.472772	SIG	1302	1.64362473	0.80327401	2.5822212	SIG	0.9014844	0.0308021	1.6920701	SIG	-1.1630615	-6.403347	14.299774	NOT SIG	0.946534759	0.083962231	1.73657075	yes	NOT SIG
0116KA	116	116	30 languages of Greenberg 1963 sample Source inferred by Uspensky 1965: 211 from Greenberg 1963: 103	NA	number is, as has been seen, closer to the stem and generally present when case is present, while the opposite relation holds far more rarely.	case > number	case > number	hierarchy	case	number	sum(GB070:1,GB071:1,GB072:1,GB073:1) => 1 > sum(GB041:1,GB042:1,GB043:1,GB044:1,GB165:1,GB166:1,GB316:1,GB317:1,GB318:1,GB319:1,GB320:1) => 1	NA	Uspensky 1965: 211 from Greenberg 1963: 103	Greenberg 1963	58	30	classic greenberg 30 sample. Fairly okay, but IE overrepresented	bias towards Eurasia	bias towards Eurasia	observational	OK, there might be differences in the way the categories "case" and "number" are constructed in the universal and our implementation.	OK	2225	0.67094182	0.4948841	0.8541181	SIG	1894	1.3915723	0.28763696	2.5467934	SIG	0.8994467	-0.31217688	2.1179578	NOT SIG	8.6121615	-7.498913	29.844949	NOT SIG	0.924209199	-0.312324	2.16612775	no	NOT SIG
0121KA	121	121	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	If a language is prepositional, then if the numeral follows the noun, the relative clause follows the noun.	Adp-N & N-Num > N-Rel	Adp-N & N-Num > N-Rel	narrow word order	word order	word order	GB074:1 & GB024:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1438	2.607985	2.043861	3.284102	SIG	1234	0.945235	-1.50824047	3.118346	NOT SIG	1.66019512	-0.39263512	3.6160403	NOT SIG	8.8039675	1.485793	22.885538	NOT SIG	1.737709142	-0.319508425	3.671531375	no	NOT SIG
0125KA	125	125	languages in Hag?ge 1982 Source Hag?ge 1982: 936	NA	If a language has both SOV in a full sentence and determining N+determined N in a Noun Phrase, then it has at least some postpositions, which historically come either from verbs (ex. Bengali), or from nouns (ex. Mande languages (W. Africa)).	SOV & Det-N > N-Adp	SOV & Det-N > N-Adp	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 & GB065:1 & GB203:1 > GB075:1	consistent head-mod order Hawkins (1983)	Hag?ge 1982: 936	Hag?ge 1982	4	250	There is a bit of European but also Eurasia bias.	bias towards Eurasia	bias towards Eurasia	NA	OK, we can"t implement SOV (also including OSV in this implementation)	OK	1264	2.674889	2.066826	3.340973	SIG	1058	3.05133794	1.29788434	4.9681146	SIG	1.9430489	0.57729348	3.2750411	SIG	24.1390095	15.72305	40.101942	SIG	2.001648284	0.6176679	3.317153125	yes	SIG
0126nKA	126	126	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 85	n	If a language has noun before numeral, then it has noun before relative clause.	N-Num > N-Rel	N-Num > N-Rel	narrow word order	word order	word order	GB024:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 85	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1500	0.4823855	0.228863	0.7452144	SIG	1287	1.2111553	-1.01847727	3.4822023	NOT SIG	0.02702697	-2.12506986	2.0232866	NOT SIG	-12.808133	-21.053485	6.488228	NOT SIG	0.13901197	-1.977977625	2.187769625	no	NOT SIG
0144KA	144	144	European languages Source Linfer 1992	NA	If a language has no adjective agreement, then the genitive will precede the noun.	no Adj Agr > Gen-N	no Adj Agr > Gen-N	broad word order	agreement	word order	GB170:0 & GB184:0 > GB065:1	NA	Bakker, Dik. "LINFER: inferring implications from the WALS database" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1679	0.5868323	0.3938913	0.781912	SIG	1423	0.034176706	-0.74820484	0.8173827	NOT SIG	-0.1165076	-0.76351195	0.5381439	NOT SIG	-2.4711585	-9.89953	18.951892	NOT SIG	-0.01988823	-0.6196899	0.581640913	no	NOT SIG
0145KA	145	145	? Source Stassen 1992	NA	SOV correlates positively with non-verbal status of predicative adjectives, whereas SVO and VSO have a tendency to favour verbal predicative adjectives.	SVO/VSO > V-like Pred Adj	SVO/VSO > V-like Pred Adj	broad word order	word order	other	(GB131:1 | GB132:1) & GB133:0 > GB068:1	NA	Stassen 1992	Stassen 1992	19	200	Australia and South America are undersampled	bias against Australia/South America	bias against the Pacific, PNG, Australia, and/or South America	NA	OK, we don"t track the order of S and O in our implementation	OK	1696	0.8351771	0.6343419	1.0318872	SIG	1403	0.293474665	-0.96557859	1.4934759	NOT SIG	0.38064409	-1.01864224	1.530967	NOT SIG	2.98412	-3.730347	11.935247	NOT SIG	0.479358714	-0.983144063	1.645109125	no	NOT SIG
0147KA	147	147	? Source Stassen 1992 (via Hurford & Kirby)	NA	If attributive adjectives have the form of relative clauses, there is a positive correlation with SVO.	V-like Attr Adj > SVO	V-like Attr Adj > SVO	broad word order	other	word order	GB069:1 > GB131:0 & GB132:1 & GB133:0	NA	Stassen 1992 (via Hurford & Kirby)	Stassen 1992	19	200	Australia and South America are undersampled	bias against Australia/South America	bias against the Pacific, PNG, Australia, and/or South America	NA	OK, we don"t track the order of S and O in our implementation	OK	1642	0.411522	0.1771053	0.6454645	SIG	1343	-0.04367164	-0.832684031	0.7872019	NOT SIG	-0.17437612	-0.760479573	0.3822327	NOT SIG	1.266648	-4.510948	20.124511	NOT SIG	-0.142785931	-0.685248937	0.3880362	no	NOT SIG
0166KA	166	166	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	If a verb agrees in prefix with the direct object, then at least some of the verbs agree with the subject.	pref-V Obj > V Agr Sbj	pref-V Obj > V agr Sbj	hierarchy	agreement	agreement	GB094:1 & GB093:0 > GB089:1 | GB090:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families.	NA	NA	NA	perfect	perfect	2020	3.11109	2.510136	3.866454	SIG	1714	2.7627549	1.11299524	4.4043338	SIG	2.94029	1.6616902	4.3578237	SIG	40.6503145	31.186086	49.466241	SIG	3.064226195	1.825951	4.44911825	yes	SIG
0173KA	173	173	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	If a language is prepositional, then if the demonstrative follows the noun, the genitive follows the noun.	Adp-N & N-Dem > N-Gen	Adp-N & N-Dem > N-Gen	narrow word order	word order	word order	GB074:1 & GB025:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1871	2.10663	1.89707	2.316778	SIG	1584	2.2012676	0.71830736	3.8957129	SIG	2.1255607	0.79869104	3.6573683	SIG	62.2378235	50.774586	70.542416	SIG	2.376627161	0.998016275	3.91656825	yes	SIG
0174KA	174	174	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	If a language is prepositional, then if the numeral follows the noun, the genitive follows the noun.	Adp-N & N-Num > N-Gen	Adp-N & N-Num > N-Gen	narrow word order	word order	word order	GB074:1 & GB024:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1840	1.459249	1.242373	1.665021	SIG	1572	1.61776949	-0.40716772	3.8197373	NOT SIG	1.5692156	-0.18460354	3.6948746	NOT SIG	13.1651745	0.796868	31.782282	NOT SIG	1.634016173	-0.148301525	3.724196375	no	NOT SIG
0175KA	175	175	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 628; Hawkins 1983: 74	NA	If a language has Prep word order, then if the genitive follows the noun, the relative clause follows the noun.	Adp-N & N-Gen > N-Rel	Adp-N & N-Gen > N-Rel	narrow word order	word order	word order	GB074:1 & GB065:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1476	3.21492	2.559728	3.960993	SIG	1253	1.86458642	-0.31602054	4.0397681	NOT SIG	2.87206918	1.01180909	5.0041375	SIG	25.1235175	18.692469	37.741787	SIG	2.99930956	1.210705875	5.092815	yes	SIG
0176KA	176	176	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 83	NA	If the genitive follows the noun, then the relative clause follows the noun.	N-Gen > N-Rel	N-Gen > N-Rel	narrow word order	word order	word order	GB065:2 > GB327:1	BDT Dryer 1992	Hawkins 1983: 83-84	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1544	2.830722	2.311733	3.419008	SIG	1310	1.38396274	-0.38115639	3.1105527	NOT SIG	2.27068728	0.92226149	3.7552993	SIG	27.243153	18.067034	43.810121	SIG	2.333642164	0.991221	3.88480425	yes	SIG
0177KA	177	177	sample of 350 languages in Hawkins 1983 Source Hawkins 1983 80	NA	If a language has Postp word order, then if the demonstrative precedes the noun, the genitive precedes the noun.	N-Adp & Dem-N > Gen-N	N-Adp & Dem-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB025:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 80	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1800	2.519711	2.25799	2.806671	SIG	1521	2.459195078	0.93233089	3.8128625	SIG	2.5459191	0.95126834	3.9918586	SIG	72.2920675	61.703578	83.770459	SIG	2.574179604	0.79085425	4.135936	yes	SIG
0178KA	178	178	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 81	NA	If a language has Postp word order, then if the numeral precedes the noun, the genitive precedes the noun.	N-Adp & Num-N > Gen-N	N-Adp & Num-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB024:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 81	Hawkins 1983	1591	350	yes, definitely biased towards Eurasia	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1779	1.735862	1.461708	2.028746	SIG	1517	1.33845752	-0.05224006	2.7021887	NOT SIG	1.22076199	0.33843723	2.1047897	SIG	13.4287405	5.697377	30.977287	NOT SIG	1.33489422	0.42457935	2.273081125	yes	NOT SIG
0179aKA	179	179	European languages Source Linfer 1992	a	There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy.	gender Adj > number Adj	gender Adj > number Adj	hierarchy	agreement	agreement	GB170:1 > GB184:1	NA	Bakker, Dik. "LINFER: inferring implications from the WALS database" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims	OK	1729	3.427175	3.092085	3.767683	SIG	1464	2.63876322	0.55238884	4.4894272	SIG	3.75785891	2.74047574	4.8765024	SIG	141.918517	130.146659	153.329584	SIG	3.825805763	2.79283525	4.998137125	yes	SIG
0179bKA	179	179	European languages Source Linfer 1992	c	There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy.	gender Dem > number Dem	gender Dem > number Dem	hierarchy	agreement	agreement	GB171:1 > GB185:1	NA	Bakker, Dik. "LINFER: inferring implications from the WALS database" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims	OK	1769	2.806942	2.519837	3.109137	SIG	1497	2.9162599	1.16086797	4.5149596	SIG	4.025432	2.88190701	5.4448008	SIG	125.131954	110.160485	147.141466	SIG	4.077045273	2.958106875	5.4445785	yes	SIG
0179cKA	179	179	European languages Source Linfer 1992	b	There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy.	gender Art > number Art	gender Art > number Art	hierarchy	agreement	agreement	GB172:1 > GB186:1	NA	Bakker, Dik. "LINFER: inferring implications from the WALS database" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims	OK	1782	3.723181	3.306907	4.161833	SIG	1523	4.9460686	2.6100293	7.3671253	SIG	5.5412056	3.575552	7.6461179	SIG	170.6161875	162.091827	179.928247	SIG	5.510379967	3.5373135	7.687137875	yes	SIG
0183KA	183	183	unspecified Source Moravcsik 1993, via Hurford & Kirby	NA	If there is case-inflection on nouns, there is also case-inflection on some pronouns.	case Nouns > case PronN	case Nouns > case PronN	hierarchy	case	case	GB070:1 > GB071:1 | GB073:1	NA	Moravcsik 1993, via Hurford & Kirby	unknown source3	16	NA	NA	NA	NA	NA	perfect	perfect	1870	3.165717	2.834746	3.509035	SIG	1587	3.43724626	2.32334743	4.6602165	SIG	3.82303569	2.90209268	4.8921019	SIG	185.301006	177.060967	205.35551	SIG	3.959225208	2.93547275	5.097336375	yes	SIG
0228KA	228	228	Arabic, Chaldean, Hebrew (all Semitic, Afro-Asiatic), Turkish (S. Turkic, Altaic), Ancient Greek, Latin, Italian, French, Spanish (all Indo-European), Chinese (Sino-Tibetan), Vietnamese (Mon-Khmer) Source Campanella 1638, as interpreted in Plank 1999: 8	NA	If nouns inflect for case, then verbs inflect for some inflectional category.	nominal case > verbal inflection	nom case > verbal infl	other	case	inflection	GB070:1|GB072:1 > GB111|GB079|GB090|GB092|GB094|GB080|GB089|GB091|GB093|GB119|GB120|GB121|GB298|GB082|GB083|GB084|GB312|GB086:1	NA	Campanella 1638, as interpreted in Plank 1999: 8	Campanella 1638	14	1	basically samples only Latin	NA	NA	NA	OK, Grambank might not capture all categories that verbs can inflect for	OK	1992	2.846266	1.952	3.94314	SIG	1691	3.5525893	1.48327145	6.0343795	SIG	2.2556834	0.39003776	4.1125402	SIG	8.088335	-4.117218	14.297292	NOT SIG	2.280971291	0.408522563	4.12463575	yes	NOT SIG
0229KA	229	229	Arabic, Chaldean, Hebrew (all Semitic, Afro-Asiatic), Turkish (S. Turkic, Altaic), Ancient Greek, Latin, Italian, French, Spanish (all Indo-European), Chinese (Sino-Tibetan), Vietnamese (Mon-Khmer) Source Campanella 1638, as interpreted in Plank 1999: 8	NA	If nominals inflect for number, they also inflect for case.	nominal number > nominal case	nom number > nom case	hierarchy	number	case	GB041|GB042|GB043|GB044|GB165|GB166:1 > GB070|GB072:1	NA	Campanella 1638, as interpreted in Plank 1999: 8	Campanella 1638	14	1	basically samples only Latin	NA	NA	NA	perfect	perfect	1992	1.12547	0.9399371	1.3113593	SIG	1691	0.8084025	-0.24068209	1.8909816	NOT SIG	0.8840264	-0.02841628	1.781673	NOT SIG	18.896447	9.857829	29.425188	NOT SIG	0.914108539	0.031228324	1.80160475	yes	NOT SIG
0230aKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	a	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	rigid order > no case	rigid order > no case	broad word order	rigid order	case	GB136:1 > GB070:0 & GB072:0	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1687	0.6186682	0.4205467	0.8169091	SIG	1394	0.4161598	-0.301171965	1.0752793	NOT SIG	0.1222147	-0.68002548	0.6800266	NOT SIG	13.5923525	2.135216	22.718255	NOT SIG	0.155282633	-0.6363196	0.6926102	no	NOT SIG
0230bKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	b	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	no case > Adp-N	no case > Adp-N	broad word order	case	word order	GB070:0 & GB072:0 > GB074:1	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1871	1.906698	1.703798	2.108306	SIG	1581	1.52691081	0.33872034	2.7329777	SIG	1.367404	0.47623013	2.3245439	SIG	41.049593	30.805969	52.277954	SIG	1.382237684	0.455818413	2.342395125	yes	SIG
0230cKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	c	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	rigid order > Adp-N	rigid order > Adp-N	broad word order	rigid order	word order	GB136:1 > GB074:1	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1737	0.5227134	0.33088236	0.7125737	SIG	1441	0.06581354	-0.90189698	0.8094149	NOT SIG	0.01851366	-0.90471489	0.7169233	NOT SIG	8.11669	-0.35889	15.78492	NOT SIG	-0.022581608	-0.8949959	0.638547938	no	NOT SIG
0230dKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	d	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	free order > case	free order > case	broad word order	free order	case	GB136:0 > GB070:1 | GB072:1	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	Sinnem_ki (2008) is a follow-up	perfect	perfect	1687	0.6172623	0.4171596	0.8141296	SIG	1394	0.4365353	-0.3021849	1.1559005	NOT SIG	0.21724476	-0.40586137	0.7401504	NOT SIG	13.2926175	3.170745	23.136225	NOT SIG	0.23084201	-0.396274313	0.751958688	no	NOT SIG
0230eKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	e	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	case > no Adp-N	case > no Adp-N	broad word order	case	word order	GB070:1 & GB072:1 > GB074:0	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1871	2.257792	2.024937	2.495311	SIG	1581	1.530693738	0.58272085	2.4434268	SIG	1.51126883	0.70233784	2.4289301	SIG	26.311978	17.601807	44.421446	SIG	1.641841902	0.790799525	2.5184505	yes	SIG
0230fKA	230	230	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13	f	IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa.	free order > no Adp-N	free order > no Adp-N	broad word order	free order	word order	GB136:0 > GB074:0	NA	Girard 1747, as interpreted in Plank 1999: 13	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1737	0.5209606	0.3266369	0.7172506	SIG	1441	0.09204171	-0.752054	0.8764679	NOT SIG	0.08823466	-0.65551093	0.7662852	NOT SIG	7.995347	0.144038	19.24932	NOT SIG	0.044628246	-0.667603987	0.681433375	no	NOT SIG
0231aKA	231	231	French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747 as interpreted by Plank (1999)	a	If constituent order is rigid (or if there is no case inflection), then the gradation of adjectives is expressed by function words; if constituent order is flexible (or if there is case inflection), then the gradation of adjectives is expressed inflectionally.	rigid order | no case > gradation adj  function word	rigid|no case > grad adj word	broad word order	other	other	(GB070: 0 & GB072: 0 )| GB136: 1 >  GB276|GB273|GB265|GB166: 1	NA	Girard 1747	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1687	0.2153179	-0.005199659	0.4503264	NOT SIG	1394	0.22951804	-0.56475051	1.0035273	NOT SIG	0.02560903	-0.56886814	0.5597862	NOT SIG	-2.855751	-7.87809	6.12223	NOT SIG	-0.029277573	-0.609787775	0.482400725	no	NOT SIG
