"term"	"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"filename"	"universal_code"	"crosszero"	"brms_support"	"Domain_general"	"Universal.shorter"
"fixed_intercept"	-0.6421053	0.06721857	-0.7762472	-0.5144706	1.000495	3359.49	"results/0239aKA/brms.single/summary_clean_uncontrolled.txt"	"0239aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ case noun|Pron"
"fixed_V3"	0.6090715	0.10336528	0.4062283	0.8084425	1.001163	3592.14	"results/0239aKA/brms.single/summary_clean_uncontrolled.txt"	"0239aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ case noun|Pron"
"fixed_intercept"	-0.4221681	0.05635696	-0.532468	-0.3099173	1.0003592	3606.804	"results/0239bKA/brms.single/summary_clean_uncontrolled.txt"	"0239bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free ⇒ num noun adj art"
"fixed_V3"	-0.3084266	0.22991368	-0.7608636	0.1367634	0.9996372	3529.175	"results/0239bKA/brms.single/summary_clean_uncontrolled.txt"	"0239bKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"free ⇒ num noun adj art"
"fixed_intercept"	-0.4489834	0.0548624	-0.5598613	-0.3416638	1.001715	3497.665	"results/0239cKA/brms.single/summary_clean_uncontrolled.txt"	"0239cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free ⇒ gen (pro)noun adj art"
"fixed_V3"	-0.2523176	0.2430993	-0.744112	0.2202781	1.00067	3425	"results/0239cKA/brms.single/summary_clean_uncontrolled.txt"	"0239cKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"free ⇒ gen (pro)noun adj art"
"fixed_intercept"	-1.4191834	0.07510161	-1.5657091	-1.2714626	1.001063	3272.107	"results/0240aKA/brms.single/summary_clean_uncontrolled.txt"	"0240aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"ergative case ⇒ Gen-N & N-Adj"
"fixed_V3"	0.4113225	0.14342588	0.1280314	0.6917003	1.000015	3274.091	"results/0240aKA/brms.single/summary_clean_uncontrolled.txt"	"0240aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"ergative case ⇒ Gen-N & N-Adj"
"fixed_intercept"	-0.7871213	0.0961413	-0.9805137	-0.5967651	1.000937	3314.65	"results/0245aKA/brms.single/summary_clean_uncontrolled.txt"	"0245aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ infl noun"
"fixed_V3"	0.4000988	0.1110025	0.1830147	0.616362	1.00143	3260.789	"results/0245aKA/brms.single/summary_clean_uncontrolled.txt"	"0245aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"free order ⇒ infl noun"
"fixed_intercept"	0.05626434	0.07744492	-0.0933029894	0.2080644	1.002113	3833.761	"results/0245bKA/brms.single/summary_clean_uncontrolled.txt"	"0245bKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"rigid & no inv ⇒ no infl noun"
"fixed_V3"	0.33058799	0.16522501	8.653376e-4	0.6505964	1.001489	3327.497	"results/0245bKA/brms.single/summary_clean_uncontrolled.txt"	"0245bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"rigid & no inv ⇒ no infl noun"
"fixed_intercept"	-0.20766788	0.06279804	-0.3316986	-0.08330841	1.001641	3030.924	"results/0247KA/brms.single/summary_clean_uncontrolled.txt"	"0247KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"accusative ⇒ gender"
"fixed_V3"	-0.06479473	0.10324863	-0.2674688	0.13585101	1.001385	3020.986	"results/0247KA/brms.single/summary_clean_uncontrolled.txt"	"0247KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"other"	"accusative ⇒ gender"
"fixed_intercept"	-1.142736	0.0782598	-1.2978097	-0.9922032	1.001301	3360.598	"results/0260KA/brms.single/summary_clean_uncontrolled.txt"	"0260KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"ergative ⇒ pref pers conj"
"fixed_V3"	-0.397099	0.1267957	-0.6479572	-0.1456441	1.001136	3110.033	"results/0260KA/brms.single/summary_clean_uncontrolled.txt"	"0260KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"ergative ⇒ pref pers conj"
"fixed_intercept"	-1.58723	0.09502239	-1.775088	-1.403146	1.001391	2379.203	"results/0276KA/brms.single/summary_clean_uncontrolled.txt"	"0276KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"num (adj|verb) ⇒ num (noun)"
"fixed_V3"	1.782343	0.11508734	1.563827	2.015033	1.000567	2626.018	"results/0276KA/brms.single/summary_clean_uncontrolled.txt"	"0276KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"num (adj|verb) ⇒ num (noun)"
"fixed_intercept"	-1.620542	0.08629158	-1.787639	-1.4538740000000001	1.002089	2684.8	"results/0320KA/brms.single/summary_clean_uncontrolled.txt"	"0320KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nom/acc pron ⇒ nom/acc noun"
"fixed_V3"	2.32324	0.12367044	2.08414	2.573523	1.000927	2923.489	"results/0320KA/brms.single/summary_clean_uncontrolled.txt"	"0320KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nom/acc pron ⇒ nom/acc noun"
"fixed_intercept"	-1.644079	0.08795164	-1.811819	-1.474665	1.003369	2414.445	"results/0328KA/brms.single/summary_clean_uncontrolled.txt"	"0328KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"verb agr S prefix ⇒ verb agr P"
"fixed_V3"	2.028518	0.10934883	1.815391	2.238422	1.001904	2688.131	"results/0328KA/brms.single/summary_clean_uncontrolled.txt"	"0328KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"verb agr S prefix ⇒ verb agr P"
"fixed_intercept"	-0.7214862	0.08892105	-0.895566	-0.5465529	1.001518	3495.077	"results/0331aKA/brms.single/summary_clean_uncontrolled.txt"	"0331aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"S pref ⇒ O pref & no O suff (strong)"
"fixed_V3"	-0.3136023	0.10722071	-0.5298212	-0.1039066	1.000212	3247.707	"results/0331aKA/brms.single/summary_clean_uncontrolled.txt"	"0331aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"S pref ⇒ O pref & no O suff (strong)"
"fixed_intercept"	-1.352687	0.06240062	-1.478626	-1.231367	1.000731	2800.103	"results/0331bKA/brms.single/summary_clean_uncontrolled.txt"	"0331bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"S pref ⇒ O pref | O suff (weak)"
"fixed_V3"	1.534153	0.11142027	1.316655	1.752224	1.0004440000000001	2891.056	"results/0331bKA/brms.single/summary_clean_uncontrolled.txt"	"0331bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"S pref ⇒ O pref | O suff (weak)"
"fixed_intercept"	-1.254672	0.06654091	-1.3854706	-1.12359	1.001577	3280.422	"results/0332KA/brms.single/summary_clean_uncontrolled.txt"	"0332KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"o suffix ⇒ s suffix"
"fixed_V3"	0.804565	0.10015057	0.6081577	1.00156	1.000497	3213.132	"results/0332KA/brms.single/summary_clean_uncontrolled.txt"	"0332KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"o suffix ⇒ s suffix"
"fixed_intercept"	-2.585881	0.09166589	-2.769193	-2.410192	1.002383	2968.796	"results/0344KA/brms.single/summary_clean_uncontrolled.txt"	"0344KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VS (tr. verb) ⇒ VS (intr. verb)"
"fixed_V3"	4.526317	0.1949264	4.151477	4.9118	1.000536	2878.585	"results/0344KA/brms.single/summary_clean_uncontrolled.txt"	"0344KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VS (tr. verb) ⇒ VS (intr. verb)"
"fixed_intercept"	-1.7507585	0.1657628	-2.0856393	-1.4394617	1.000279	3540.821	"results/0356KA/brms.single/summary_clean_uncontrolled.txt"	"0356KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"verb agr S&P suff ⇒ SV"
"fixed_V3"	-0.1214438	0.1809027	-0.4734424	0.2374411	1.00161	3510.439	"results/0356KA/brms.single/summary_clean_uncontrolled.txt"	"0356KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"verb agr S&P suff ⇒ SV"
"fixed_intercept"	-4.033264	0.2009493	-4.4369467	-3.647291	1.002784	1796.587	"results/0357KA/brms.single/summary_clean_uncontrolled.txt"	"0357KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"VS & suff agr S ⇒ suff agr P "
"fixed_V3"	1.373978	0.2604346	0.8776724	1.899819	1.00204	1927.864	"results/0357KA/brms.single/summary_clean_uncontrolled.txt"	"0357KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"VS & suff agr S ⇒ suff agr P "
"fixed_intercept"	-1.42697742	0.1319008	-1.690073	-1.1758902	1.001884	3088.178	"results/0365KA/brms.single/summary_clean_uncontrolled.txt"	"0365KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"agr S & pref verb P ⇒ SV"
"fixed_V3"	0.04173649	0.1449432	-0.2382021	0.3364789	1.001049	3232.694	"results/0365KA/brms.single/summary_clean_uncontrolled.txt"	"0365KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"agr S & pref verb P ⇒ SV"
"fixed_intercept"	-0.9463935	0.1832083	-1.314042	-0.5969774	1.001698	3268.149	"results/0386KA/brms.single/summary_clean_uncontrolled.txt"	"0386KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nominal infl ⇒ verbal infl"
"fixed_V3"	2.5366086	0.19314	2.170136	2.9132267	1.002501	3092.09	"results/0386KA/brms.single/summary_clean_uncontrolled.txt"	"0386KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"nominal infl ⇒ verbal infl"
"fixed_intercept"	-2.232332	0.2037527	-2.646067	-1.852379	1.001681	2786.865	"results/0423KA/brms.single/summary_clean_uncontrolled.txt"	"0423KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & no SOV ⇒ N-Rel"
"fixed_V3"	2.728495	0.2108208	2.329612	3.163391	1.001932	2949.404	"results/0423KA/brms.single/summary_clean_uncontrolled.txt"	"0423KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & no SOV ⇒ N-Rel"
"fixed_intercept"	-1.9787818	0.08434335	-2.14697206	-1.8171777	1.001849	3223.208	"results/0439KA/brms.single/summary_clean_uncontrolled.txt"	"0439KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"non-acc align ⇒ V-initial"
"fixed_V3"	0.3289564	0.20209864	-0.07621909	0.7142753	1.000714	3282.345	"results/0439KA/brms.single/summary_clean_uncontrolled.txt"	"0439KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"non-acc align ⇒ V-initial"
"fixed_intercept"	-0.6426188	0.07890129	-0.7959348	-0.4875245	1.002398	3381.35	"results/0446KA/brms.single/summary_clean_uncontrolled.txt"	"0446KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"V-final | free ⇒ N-Adp | case"
"fixed_V3"	2.1351368	0.11432074	1.9100463	2.3626598	1.000118	2988.707	"results/0446KA/brms.single/summary_clean_uncontrolled.txt"	"0446KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"V-final | free ⇒ N-Adp | case"
"fixed_intercept"	-2.1763461	0.1176822	-2.4069786	-1.9483235	0.9998714	2951.103	"results/0454KA/brms.single/summary_clean_uncontrolled.txt"	"0454KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"inalien poss pref ⇒ Gen-N"
"fixed_V3"	0.4823292	0.160298	0.1608897	0.7946385	0.9998046	2869.601	"results/0454KA/brms.single/summary_clean_uncontrolled.txt"	"0454KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"inalien poss pref ⇒ Gen-N"
"fixed_intercept"	-2.248003	0.1112641	-2.467316	-2.029952	1.001744	1962.396	"results/0489KA/brms.single/summary_clean_uncontrolled.txt"	"0489KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV ⇒ N-Adp"
"fixed_V3"	3.062277	0.1327466	2.803701	3.32091	1.001771	2124.744	"results/0489KA/brms.single/summary_clean_uncontrolled.txt"	"0489KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV ⇒ N-Adp"
"fixed_intercept"	-2.1245565	0.1237087	-2.3749408	-1.8840176	1.001024	2807.738	"results/0493aKA/brms.single/summary_clean_uncontrolled.txt"	"0493aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Q-Sent ⇒ Adp-N"
"fixed_V3"	0.6008035	0.1531639	0.2906017	0.8973625	1.000938	2821.472	"results/0493aKA/brms.single/summary_clean_uncontrolled.txt"	"0493aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Q-Sent ⇒ Adp-N"
"fixed_intercept"	-0.6112471	0.0770493	-0.7578451	-0.4625431	1.001277	3147.043	"results/0493bKA/brms.single/summary_clean_uncontrolled.txt"	"0493bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Sent-Q ⇒ N-Adp"
"fixed_V3"	0.4310221	0.1068851	0.2245245	0.6388294	1.000618	3461.859	"results/0493bKA/brms.single/summary_clean_uncontrolled.txt"	"0493bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Sent-Q ⇒ N-Adp"
"fixed_intercept"	-4.3056378	0.3517382	-5.037012271	-3.6835	1.001219	2196.839	"results/0504aKA/brms.single/summary_clean_uncontrolled.txt"	"0504aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"prefixes ⇒ Adp-N"
"fixed_V3"	0.7491423	0.4118932	-0.006214772	1.617685	1.000844	2504.366	"results/0504aKA/brms.single/summary_clean_uncontrolled.txt"	"0504aKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"prefixes ⇒ Adp-N"
"fixed_intercept"	-2.360735	0.1296956	-2.619787	-2.115381	1.00187	2246.207	"results/0504bKA/brms.single/summary_clean_uncontrolled.txt"	"0504bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"suffixes ⇒ N-Adp"
"fixed_V3"	1.352508	0.1605022	1.03947	1.675588	1.001078	2590.061	"results/0504bKA/brms.single/summary_clean_uncontrolled.txt"	"0504bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"suffixes ⇒ N-Adp"
"fixed_intercept"	2.311516	0.5019517	1.4206054	3.37638	1.001188	3297.753	"results/0506KA/brms.single/summary_clean_uncontrolled.txt"	"0506KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"inflection ⇒ word formation"
"fixed_V3"	1.654316	0.6548402	0.3469601	2.921812	1.002329	2077.294	"results/0506KA/brms.single/summary_clean_uncontrolled.txt"	"0506KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"inflection ⇒ word formation"
"fixed_intercept"	-1.975763	0.1716159	-2.330361	-1.650804	1.000896	2504.439	"results/0507KA/brms.single/summary_clean_uncontrolled.txt"	"0507KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"(person)-number ⇒ tense-mood"
"fixed_V3"	1.943196	0.1826019	1.595007	2.323644	1.000276	2899.671	"results/0507KA/brms.single/summary_clean_uncontrolled.txt"	"0507KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"(person)-number ⇒ tense-mood"
"fixed_intercept"	-6.510073	0.656463	-8.005037	-5.433577	1.001801	1080.63	"results/0511aKA/brms.single/summary_clean_uncontrolled.txt"	"0511aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Trial ⇒ Dual"
"fixed_V3"	3.684225	0.7227897	2.443389	5.278926	1.003078	1120.026	"results/0511aKA/brms.single/summary_clean_uncontrolled.txt"	"0511aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Trial ⇒ Dual"
"fixed_intercept"	-3.690397	0.2853733	-4.326149	-3.180412	1.000386	1998.599	"results/0511bKA/brms.single/summary_clean_uncontrolled.txt"	"0511bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Dual ⇒ Plural"
"fixed_V3"	1.96848	0.2958807	1.433876	2.600539	1.000629	2152.693	"results/0511bKA/brms.single/summary_clean_uncontrolled.txt"	"0511bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Dual ⇒ Plural"
"fixed_intercept"	-1.171807	0.08632819	-1.3397674	-1.000942	1.00261	2778.394	"results/0513KA/brms.single/summary_clean_uncontrolled.txt"	"0513KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender ⇒ number"
"fixed_V3"	1.108235	0.10090712	0.9060739	1.307223	1.002735	2727.261	"results/0513KA/brms.single/summary_clean_uncontrolled.txt"	"0513KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender ⇒ number"
"fixed_intercept"	-1.335584	0.05984637	-1.455461	-1.22281	1.001403	3511.201	"results/0516KA/brms.single/summary_clean_uncontrolled.txt"	"0516KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender noun ⇒ gender pron"
"fixed_V3"	2.503419	0.11877818	2.272985	2.732256	1.001075	3048.086	"results/0516KA/brms.single/summary_clean_uncontrolled.txt"	"0516KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender noun ⇒ gender pron"
"fixed_intercept"	-5.626893	0.436045	-6.547684	-4.852288	1.003824	1352.23	"results/0517KA/brms.single/summary_clean_uncontrolled.txt"	"0517KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender (1) ⇒ gender (2 &| 3)"
"fixed_V3"	2.667344	0.4845643	1.775283	3.684822	1.003345	1442.099	"results/0517KA/brms.single/summary_clean_uncontrolled.txt"	"0517KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"gender (1) ⇒ gender (2 &| 3)"
"fixed_intercept"	-1.57847	0.08964141	-1.758596	-1.405086	1.001117	2832.32	"results/0521KA/brms.single/summary_clean_uncontrolled.txt"	"0521KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Adj agr noun ⇒ Dem agr noun"
"fixed_V3"	2.293028	0.122507	2.059591	2.535539	1.000761	3034.793	"results/0521KA/brms.single/summary_clean_uncontrolled.txt"	"0521KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Adj agr noun ⇒ Dem agr noun"
"fixed_intercept"	-3.370434	0.1540957	-3.678209	-3.073276	1.001925	1611.568	"results/0564KA/brms.single/summary_clean_uncontrolled.txt"	"0564KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Du (noun) ⇒ Du (pronoun)"
"fixed_V3"	2.717877	0.182297	2.361082	3.07967	1.001908	1797.927	"results/0564KA/brms.single/summary_clean_uncontrolled.txt"	"0564KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"Du (noun) ⇒ Du (pronoun)"
"fixed_intercept"	-0.1496431	0.0605248	-0.2688816	-0.03069563	1.001394	3351.777	"results/0569KA/brms.single/summary_clean_uncontrolled.txt"	"0569KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"no case (noun) ⇒ article"
"fixed_V3"	0.4860545	0.09056897	0.3135797	0.66419825	1.000894	3631.674	"results/0569KA/brms.single/summary_clean_uncontrolled.txt"	"0569KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"no case (noun) ⇒ article"
"fixed_intercept"	-0.7631735	0.07898942	-0.9178546	-0.6123168	1.001208	3057.924	"results/0572KA/brms.single/summary_clean_uncontrolled.txt"	"0572KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"obli (in)Def mark ⇒ obli PL mark"
"fixed_V3"	0.358966	0.09735694	0.1656534	0.5458358	1.002584	3357.157	"results/0572KA/brms.single/summary_clean_uncontrolled.txt"	"0572KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"obli (in)Def mark ⇒ obli PL mark"
"fixed_intercept"	-0.2983666	0.05625625	-0.4086728	-0.1882552	1.00259	2833.921	"results/0573KA/brms.single/summary_clean_uncontrolled.txt"	"0573KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"obli (in)Def mark ⇒ no obli NumCl"
"fixed_V3"	-0.3911802	0.11638836	-0.6195669	-0.1698768	1.001075	3103.837	"results/0573KA/brms.single/summary_clean_uncontrolled.txt"	"0573KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"obli (in)Def mark ⇒ no obli NumCl"
"fixed_intercept"	-2.865236	0.1248432	-3.114535	-2.629914	1.001244	2339.7	"results/0577KA/brms.single/summary_clean_uncontrolled.txt"	"0577KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"suppl infl noun ⇒ suppl infl Pron|verb"
"fixed_V3"	1.601559	0.2161426	1.170096	2.014796	1.001241	2656.86	"results/0577KA/brms.single/summary_clean_uncontrolled.txt"	"0577KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"suppl infl noun ⇒ suppl infl Pron|verb"
"fixed_intercept"	0.8897905	0.07657633	0.7438755	1.039716	1.002094	3212.783	"results/0582KA/brms.single/summary_clean_uncontrolled.txt"	"0582KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"infl (noun) ⇒ infl (pronoun)"
"fixed_V3"	0.8057776	0.10676695	0.6001761	1.017298	1.000501	3081.221	"results/0582KA/brms.single/summary_clean_uncontrolled.txt"	"0582KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"infl (noun) ⇒ infl (pronoun)"
"fixed_intercept"	-2.663588	0.1288638	-2.924185	-2.406529	1.001616	1859.382	"results/0612KA/brms.single/summary_clean_uncontrolled.txt"	"0612KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"switch-reference ⇒ V-final"
"fixed_V3"	1.922662	0.1530941	1.625599	2.232044	1.002155	1946.917	"results/0612KA/brms.single/summary_clean_uncontrolled.txt"	"0612KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"switch-reference ⇒ V-final"
"fixed_intercept"	-0.5312631	0.06973468	-0.66966938	-0.3914719	1.000824	3166.96	"results/0668KA/brms.single/summary_clean_uncontrolled.txt"	"0668KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV ⇒ Sent-Q"
"fixed_V3"	0.2744721	0.10494123	0.06611195	0.4853425	1.000222	3119.396	"results/0668KA/brms.single/summary_clean_uncontrolled.txt"	"0668KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV ⇒ Sent-Q"
"fixed_intercept"	0.8803628	0.07416955	0.7343786	1.0275485	1.00123	2923.257	"results/0798KA/brms.single/summary_clean_uncontrolled.txt"	"0798KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"tensed ⇒ N-like Pred Adj"
"fixed_V3"	-1.0796266	0.09909823	-1.2714291	-0.8823338	1.00146	3124.046	"results/0798KA/brms.single/summary_clean_uncontrolled.txt"	"0798KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"other"	"tensed ⇒ N-like Pred Adj"
"fixed_intercept"	-2.4392741	0.1335432	-2.711134	-2.187916	1.0011281	2447.884	"results/0822KA/brms.single/summary_clean_uncontrolled.txt"	"0822KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"correlative Rel ⇒ V-final;"
"fixed_V3"	0.8901059	0.1812292	0.5453938	1.24639	0.9999853	3015.779	"results/0822KA/brms.single/summary_clean_uncontrolled.txt"	"0822KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"correlative Rel ⇒ V-final;"
"fixed_intercept"	-1.76930026	0.140508	-2.0486698	-1.5001161	1.000662	3411.351	"results/0837KA/brms.single/summary_clean_uncontrolled.txt"	"0837KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"VSO ⇒ person & number infl"
"fixed_V3"	-0.03183847	0.1644963	-0.3555194	0.2881926	1.000695	3584.976	"results/0837KA/brms.single/summary_clean_uncontrolled.txt"	"0837KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"broad word order"	"VSO ⇒ person & number infl"
"fixed_intercept"	1.9815979	0.1899527	1.616794	2.3545721	1.001035	3264.142	"results/0889aKA/brms.single/summary_clean_uncontrolled.txt"	"0889aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"OV ⇒ suffixes"
"fixed_V3"	-0.6086163	0.1995696	-1.002942	-0.2312892	1.001138	3373.857	"results/0889aKA/brms.single/summary_clean_uncontrolled.txt"	"0889aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"OV ⇒ suffixes"
"fixed_intercept"	-0.3745058	0.08396929	-0.5415518	-0.2143459	1.000631	3100.97	"results/0889bKA/brms.single/summary_clean_uncontrolled.txt"	"0889bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"VO ⇒ prefixes"
"fixed_V3"	0.8613342	0.09914352	0.668584	1.0621878	1.000605	3237.325	"results/0889bKA/brms.single/summary_clean_uncontrolled.txt"	"0889bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"VO ⇒ prefixes"
"fixed_intercept"	0.09292485	0.055847	-0.01731108	0.1999482	1.001608	3755.058	"results/0917aKA/brms.single/summary_clean_uncontrolled.txt"	"0917aKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"narrow word order"	"VO ⇒ Qpart-S"
"fixed_V3"	0.56105313	0.1542105	0.25943953	0.8665327	1.000091	3705.448	"results/0917aKA/brms.single/summary_clean_uncontrolled.txt"	"0917aKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VO ⇒ Qpart-S"
"fixed_intercept"	0.9122455	0.06761218	0.7819502	1.043629	1.000534	3508.745	"results/0917bKA/brms.single/summary_clean_uncontrolled.txt"	"0917bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Gen-N"
"fixed_V3"	1.6072716	0.14298418	1.3331159	1.890962	1.000738	2224.664	"results/0917bKA/brms.single/summary_clean_uncontrolled.txt"	"0917bKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Gen-N"
"fixed_intercept"	1.2367479	0.07671513	1.089819	1.384601	1.001481	3634.738	"results/0917cKA/brms.single/summary_clean_uncontrolled.txt"	"0917cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Rel-N"
"fixed_V3"	0.9003388	0.1730522	0.5762158	1.244859	1.001583	3114.133	"results/0917cKA/brms.single/summary_clean_uncontrolled.txt"	"0917cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Rel-N"
"fixed_intercept"	0.005647594	0.05251224	-0.09876873	0.1090797	1.000852	3326.298	"results/0964aKA/brms.single/summary_clean_uncontrolled.txt"	"0964aKA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"narrow word order"	"VO ⇒ Art-N"
