"term"	"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"filename"	"universal_code"	"crosszero"	"brms_support"	"Domain_general"	"Universal.shorter"
"fixed_V3"	2.5848116	0.12478546	2.3441792	2.8325063	1.000622	2593.155	"results/0107cKA/brms.single/summary_clean_uncontrolled.txt"	"0107cKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"VO ⇒ N-Gen"
"fixed_intercept"	1.085551	0.07624307	0.9404877	1.237706	0.9998163	3327.332	"results/0108KA/brms.single/summary_clean_uncontrolled.txt"	"0108KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Sent-Q"
"fixed_V3"	1.112609	0.15533475	0.818696	1.410114	1.0031045	2759.587	"results/0108KA/brms.single/summary_clean_uncontrolled.txt"	"0108KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"OV ⇒ Sent-Q"
"fixed_intercept"	0.9072222	0.08982214	0.7272307	1.085379	1.001007	3340.148	"results/0110KA/brms.single/summary_clean_uncontrolled.txt"	"0110KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Rel ⇒ N-Adj"
"fixed_V3"	1.1906452	0.14097028	0.9151244	1.472772	1.00051	2358.359	"results/0110KA/brms.single/summary_clean_uncontrolled.txt"	"0110KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Rel ⇒ N-Adj"
"fixed_intercept"	0.03377846	0.07388457	-0.1136939	0.1771259	1.00091	3459.586	"results/0116KA/brms.single/summary_clean_uncontrolled.txt"	"0116KA"	TRUE	"no (not supported, 95% CI does not exclude zero)"	"hierarchy"	"case ⇒ number"
"fixed_V3"	0.67094182	0.09122668	0.4948841	0.8541181	1.002039	3277.22	"results/0116KA/brms.single/summary_clean_uncontrolled.txt"	"0116KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"case ⇒ number"
"fixed_intercept"	-3.137613	0.3074314	-3.81382	-2.599313	1.001863	1843.436	"results/0121KA/brms.single/summary_clean_uncontrolled.txt"	"0121KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Num ⇒ N-Rel"
"fixed_V3"	2.607985	0.3127894	2.043861	3.284102	1.002284	2000.111	"results/0121KA/brms.single/summary_clean_uncontrolled.txt"	"0121KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Num ⇒ N-Rel"
"fixed_intercept"	-4.085376	0.3058135	-4.72686	-3.534874	1.002363	1167.171	"results/0125KA/brms.single/summary_clean_uncontrolled.txt"	"0125KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV & Det-N ⇒ N-Adp"
"fixed_V3"	2.674889	0.3216523	2.066826	3.340973	1.002499	1283.033	"results/0125KA/brms.single/summary_clean_uncontrolled.txt"	"0125KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"SOV & Det-N ⇒ N-Adp"
"fixed_intercept"	-0.3662239	0.1221553	-0.6017587	-0.1309281	1.00017	3110.894	"results/0126nKA/brms.single/summary_clean_uncontrolled.txt"	"0126nKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Num ⇒ N-Rel"
"fixed_V3"	0.4823855	0.1342249	0.228863	0.7452144	1.000085	3193.19	"results/0126nKA/brms.single/summary_clean_uncontrolled.txt"	"0126nKA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"N-Num ⇒ N-Rel"
"fixed_intercept"	0.1612571	0.06218725	0.0399627	0.2835596	1.000561	3382.614	"results/0144KA/brms.single/summary_clean_uncontrolled.txt"	"0144KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"no Adj Agr ⇒ Gen-N"
"fixed_V3"	0.5868323	0.09917009	0.3938913	0.781912	1.000463	3282.852	"results/0144KA/brms.single/summary_clean_uncontrolled.txt"	"0144KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"no Adj Agr ⇒ Gen-N"
"fixed_intercept"	-0.1507712	0.0673003	-0.2813714	-0.0177433	1.000828	3343.523	"results/0145KA/brms.single/summary_clean_uncontrolled.txt"	"0145KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"SVO/VSO ⇒ V-like Pred Adj"
"fixed_V3"	0.8351771	0.1017675	0.6343419	1.0318872	1.000212	3005.72	"results/0145KA/brms.single/summary_clean_uncontrolled.txt"	"0145KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"SVO/VSO ⇒ V-like Pred Adj"
"fixed_intercept"	-1.429109	0.0812333	-1.5906199	-1.2728464	1.00085	2996.116	"results/0147KA/brms.single/summary_clean_uncontrolled.txt"	"0147KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"V-like Attr Adj ⇒ SVO"
"fixed_V3"	0.411522	0.1212238	0.1771053	0.6454645	1.002366	3000.498	"results/0147KA/brms.single/summary_clean_uncontrolled.txt"	"0147KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"broad word order"	"V-like Attr Adj ⇒ SVO"
"fixed_intercept"	-4.294289	0.3387851	-5.038343	-3.701328	1.004768	1228.468	"results/0166KA/brms.single/summary_clean_uncontrolled.txt"	"0166KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"pref-V Obj ⇒ V agr Sbj"
"fixed_V3"	3.11109	0.3428592	2.510136	3.866454	1.004485	1303.611	"results/0166KA/brms.single/summary_clean_uncontrolled.txt"	"0166KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"hierarchy"	"pref-V Obj ⇒ V agr Sbj"
"fixed_intercept"	-1.475168	0.07555597	-1.62446	-1.330753	1.001474	2781.441	"results/0173KA/brms.single/summary_clean_uncontrolled.txt"	"0173KA"	FALSE	"yes (supported, 95% CI excludes zero)"	"narrow word order"	"Adp-N & N-Dem ⇒ N-Gen"
