Language_ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID	Closest_ISO369P3code	First_Year_Of_Documentation	Last_Year_Of_Documentation	aes	category	classification	level	med	medovertime	subclassification
kpar1234	Kparev	Africa	6.88039	9.26287	kpar1234	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/ipus1234	dialect	NA	NA	kpar1234:1;
ukum1234	Ukum	Africa	6.88039	9.26287	ukum1234	NA	NA	atla1278	tivv1240	tiv	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/cent2261/cent2267/tive1237/tivi1234/tivv1240/ipus1234	dialect	NA	NA	ukum1234:1;
yang1293	Nuasue	Africa	4.41971	11.0277	yang1293	yav	CM	atla1278	NA	yav	NA	NA	2	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/bati1255/mbur1240/nucl1746	language	0	['Bébiné, Adriel Josias. 2018. Description morphologique et morphosyntaxique du nuasúɛ (A.62.A). (Doctoral dissertation, Université de Yaoundé I; xiv+571+xxvipp.)', ""Madeleine Effa-Mekongo. 1984. Le Yangben: langue Yambassa du sud Cameroun, essai d'analyse de quelques catégories grammaticales. (Doctoral dissertation, Université de Paris VII; 197pp.)"", 'Paulian, Christiane. 1980. Les classes nominales dans les parlers yambassa. LACITO (Langues et civilisations à tradition orale) informations: bull. de liaison 11. 63-66.']	yang1293:1;
mmal1234	Mmala-Elip-Gunu	NA	4.5329325	11.124125	mmal1234	NA	NA	atla1278	NA	NA	NA	NA	NA	Family	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/bati1255/mbur1240/nucl1746	family	NA	NA	(((nuka1243:1,nula1234:1,nuya1234:1)elip1238:1,(nort2808:1,sout2825:1)nugu1242:1)elip1240:1,mmaa1238:1)mmal1234:1;
mbel1241	Mbele-Cenga-Bonjo	Africa	4.64348	11.5353	mbel1241	NA	NA	atla1278	tuki1240	bag	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/sana1278/tuki1240	dialect	NA	NA	(toce1238:1,tonj1244:1,mber1258:1)mbel1241:1;
tsin1239	Tutsingo	Africa	4.64348	11.5353	tsin1239	NA	NA	atla1278	tuki1240	bag	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/sana1278/tuki1240	dialect	NA	NA	tsin1239:1;
cang1247	Cangu-Kombe-Ngoro	Africa	4.64348	11.5353	cang1247	NA	NA	atla1278	tuki1240	bag	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/sana1278/tuki1240	dialect	NA	NA	(ngor1242:1,bund1254:1,komb1269:1)cang1247:1;
nigi1240	Nigii	Africa	4.83615	10.9369	nigi1240	NA	NA	atla1278	yamb1252	yat	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/west2826/yamb1252	dialect	NA	NA	nigi1240:1;
nede1244	Nedek	Africa	4.83615	10.9369	nede1244	NA	NA	atla1278	yamb1252	yat	NA	NA	NA	Dialect	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/west2826/yamb1252	dialect	NA	NA	nede1244:1;
nyok1243	Nyokon	Africa	4.75	10.5	nyok1243	nvo	CM	atla1278	NA	nvo	NA	NA	1	Spoken_L1_Language	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/mbam1254/mbam1252/nucl1802/sana1299/west2826/mand1474	language	3	['Mous, Maarten. 2022. Tone and the verbal systems of Nyokon. Journal of West African Languages 49. 1-33.', ""Nkotto Amboa, Christelle Carmeline. 2006. La morphologie nominale du ninyo'o. (MA thesis, Université de Yaoundé I)."", ""Nga, Elaine. 2000. Esquisse phonologique du ninyo'o. (MA thesis, Université de Yaoundé I; 157pp.)"", 'Mous, Maarten and Breedveld, Anneke. 1986. A Dialectometrical Study of Some Bantu Languages (A. 40 - A. 60) Cameroon. In Guarisma, Gladys and Möhlig, Wilhelm J. G. (eds.), La méthode dialectometrique appliquée aux langues africaines, 177-241. Berlin: Dietrich Reimer.', 'Richardson, Irvine. 1957. Linguistic Survey of the Northern Bantu Borderland. (Linguistic Survey of the Northern Bantu Borderland, 2.) London: Oxford: Oxford University Press. 98pp.', ""Chauleur, P. 1943. Esquisse Ethnologique pour servir à l'étude des principales tribus des Territoires du Cameroun sous Mandat Français. Bulletin de la société d'Études Camerounaises 3. 11-72.""]	nyok1243:1;
