Options:																														
Model:                           Discrete: Dependent																														
Tree File Name:                  pruned_tree.trees																														
Data File Name:                  BT_data.txt																														
Log File Name:                   res_dep.txt.Log.txt																														
Save Initial Trees:              False																														
Save Trees:                      False																														
Summary:                         False																														
Seed:                            4268589876																														
Precision:                       64 bits																														
Cores:                           2																														
Analysis Type:                   MCMC																														
Sample Period:                   30000																														
Iterations:                      30300000																														
Burn in:                         300000																														
MCMC ML Start:                   False																														
Schedule File:                   res_dep.txt.Schedule.txt																														
Rate Dev:                        AutoTune																														
No of Rates:                     8																														
Base frequency (PI's):           None																														
Character Symbols:               00,01,10,11																														
Using a covarion model:          False																														
Normalise Q Matrix:              False																														
Restrictions:																														
750000	-1598.475992	47	0.091055	0.014014	0.166351	0.249621	0.123645	0.476477	0.048709	0.126669	0.251308	0.250029	0.249513	0.24915	0.136613	1.814228	0.83221	0.737992	0.442945	9.948451	1.185534	0.062878	0.262004	8.111053	1.95562	1.096586	0.127227	2.614524	2.137372	0.298362
780000	-1596.505504	47	0.085142	0.021031	0.13161	0.167704	0.171895	0.535668	0.028215	0.135493	0.251036	0.250078	0.249637	0.24925	3.157227	0.099272	0.745218	1.770005	1.715689	0.925789	0.606428	0.77377	1.797579	0.203926	1.168896	2.042304	0.50376	7.855743	0.626105	8.651216
810000	-1596.901609	47	0.082502	0.018522	0.15904	0.189647	0.158203	0.490042	0.053583	0.134553	0.249949	0.249998	0.250018	0.250035	0.753891	1.694243	0.178835	2.347641	3.117167	0.058111	0.289143	5.496154	0.670179	4.136	0.733091	8.24425	0.124608	8.185931	0.315235	7.076497
840000	-1599.360637	47	0.074535	0.020473	0.158743	0.123674	0.085671	0.46248	0.037549	0.114208	0.252831	0.251012	0.248363	0.247794	2.448667	0.556697	0.784412	0.135515	1.382526	3.610793	0.203569	5.759683	0.095007	8.545488	1.014101	7.366468	0.277562	4.922156	0.29231	1.05705
870000	-1596.667817	47	0.068756	0.019534	0.148987	0.196096	0.133405	0.474909	0.047814	0.132824	0.250465	0.250028	0.249824	0.249683	0.165697	2.983296	0.857944	5.824095	0.216292	5.765911	2.445514	0.539728	0.14334	1.582754	2.949313	5.007561	0.533535	2.451428	0.27979	5.872616
900000	-1596.328743	47	0.089463	0.021195	0.164842	0.170419	0.124508	0.503131	0.057549	0.130183	0.250197	0.250036	0.249909	0.249859	0.444267	8.911669	0.181695	5.557456	0.37269	7.902932	0.837101	2.440022	1.367179	1.604075	0.751736	4.706183	2.052715	0.344512	0.651295	4.338646
930000	-1596.15031	47	0.104013	0.025973	0.168133	0.168205	0.154564	0.404226	0.044862	0.10758	0.250324	0.250057	0.249879	0.24974	0.316965	2.276233	1.049738	1.779389	1.262428	7.108286	0.098826	6.748763	0.64135	9.050376	1.360779	0.500076	0.794065	0.14865	0.148091	2.346733
960000	-1597.591785	47	0.091552	0.018399	0.141885	0.191238	0.115659	0.62962	0.035009	0.182885	0.251901	0.250193	0.249144	0.248762	0.696938	4.295731	0.538325	6.891884	3.33968	0.0641	0.819633	3.563583	0.549159	4.370777	2.838637	0.832565	0.484391	2.541752	1.127631	0.235233
990000	-1597.556157	47	0.102887	0.026031	0.139864	0.175348	0.173278	0.33669	0.029707	0.103644	0.250488	0.250021	0.249888	0.249602	0.764657	1.012581	0.520973	3.021384	1.254107	0.069575	1.342273	0.902108	0.116099	2.968457	4.056044	0.090588	1.765323	0.002586	0.3359	6.149444
1020000	-1597.627086	47	0.097553	0.025305	0.187257	0.193284	0.113253	0.360395	0.031566	0.110487	0.251976	0.250362	0.249184	0.248478	0.534457	9.328092	0.375648	1.821831	0.19118	5.329701	2.104912	0.604282	1.027726	5.813351	2.660442	0.228946	0.144658	3.456197	0.154551	7.898662
1050000	-1596.634163	47	0.080151	0.012063	0.130971	0.207334	0.16491	0.479522	0.035641	0.135458	0.250696	0.249973	0.249797	0.249534	0.656795	5.912391	0.325415	0.415713	0.700229	0.324136	1.556212	1.885086	0.482307	0.752772	2.424572	2.064159	0.107478	1.289299	0.043915	8.044175
1080000	-1598.190325	47	0.085487	0.01235	0.109941	0.1823	0.169288	0.498553	0.039587	0.145344	0.25034	0.249979	0.249903	0.249778	0.916873	0.519883	0.176257	1.634209	1.618394	6.464073	1.064131	7.584854	0.700422	0.76935	2.050637	1.065362	2.06565	0.090307	0.417415	4.179617
